Car Name,Price
Q5 E-tronتیپ 40- فول-2024,"5,402,024 تومان"
Q5 E-tronتیپ 40- نیمه‌ فول-2024,"5,402,024 تومان"
Q5 E-tronتیپ 40- نیمه‌ فول-2023,"5,402,023 تومان"
Q5 E-tronتیپ 40- فول-2023,"5,402,023 تومان"
دو کابین آسنادنده ای-1403,"1,403 تومان"
ET5برقی-2024,"52,024 تومان"
اوکتاویاتوربو 1400-2024,"14,002,024 تومان"
سوپربتوربو 1400-2024,"14,002,024 تومان"
کاروک1400 توربو-2024,"14,002,024 تومان"
LXتوربو 1600-1404,"16,001,404 تومان"
LXتوربو 1600-1403,"16,001,403 تومان"
TXLتوربو 2000-1404,"20,001,404 تومان"
TXLتوربو 2000-1403,"20,001,403 تومان"
VXتوربو 2000-1404,"20,001,404 تومان"
VXتوربو 2000-1403,"20,001,403 تومان"
ام جی 5موتور 1500-2025,"515,002,025 تومان"
ام جی 5موتور 1500-2024,"515,002,024 تومان"
ام جی GTتوربو 1500-2024,"15,002,024 تومان"
پژو 2008اتوماتیک-1399,"20,081,399 تومان"
پژو 206تیپ 3-1402,"20,631,402 تومان"
پژو 207دنده ای نیمه فول - ESP-1404,"2,071,404 تومان"
پژو 207دنده ای سقف شیشه ای - ESP ارتقا یافته-1404,"2,071,404 تومان"
پژو 207اتوماتیک سقف شیشه ای - ESP ارتقا یافته-1404,"2,071,404 تومان"
پژو 207اتوماتیک - ESP-1404,"2,071,404 تومان"
پژو 207دنده ای با موتور  ESP - TU3-1404,"20,731,404 تومان"
پژو 207دنده ای سقف شیشه ای - ESP ارتقا یافته- رینگ فولادی-1404,"2,071,404 تومان"
پژو 207دنده ای سقف شیشه ای - ESP-1403,"2,071,403 تومان"
پژو 207اتوماتیک سقف شیشه ای - ESP-1403,"2,071,403 تومان"
پژو 207دنده ای نیمه فول - ESP-1403,"2,071,403 تومان"
پژو 207اتوماتیک - ESP-1403,"2,071,403 تومان"
پژو 207دنده ای با موتور  ESP - TU3-1403,"20,731,403 تومان"
پژو 207اتوماتیک سقف شیشه ای-1403,"2,071,403 تومان"
پژو 207دنده ای سقف شیشه ای - ESP ارتقا یافته-1403,"2,071,403 تومان"
پژو 207اتوماتیک سقف شیشه ای - ESP ارتقا یافته-1403,"2,071,403 تومان"
پژو پارسمعمولی (سفارشی) - موتور جدید-ELX-1403,"1,403 تومان"
پژو پارسLX با دریچه گاز سیمی-1403,"1,403 تومان"
پژو پارسLX با دریچه گاز برقی-1403,"1,403 تومان"
پژو پارسمعمولی - موتور جدید-1403,"1,403 تومان"
تارااتومات V4-1404,"41,404 تومان"
تارادنده ای V1 پلاس-1404,"11,404 تومان"
تارادنده - ESP-1403,"1,403 تومان"
تارااتوماتیک-1403,"1,403 تومان"
تارااتومات V4-1403,"41,403 تومان"
تارادنده ای V1 پلاس-1403,"11,403 تومان"
دنا پلاستوربو اتوماتیک - آپشنال-1404,"1,404 تومان"
دنا پلاس6 دنده-1404,"61,404 تومان"
دنا پلاسلو آپشن-1404,"1,404 تومان"
دنا پلاسلو آپشن-1403,"1,403 تومان"
دنا پلاستوربو اتوماتیک - ESP-1403,"1,403 تومان"
دنا پلاستوربو 6 دنده-1403,"61,403 تومان"
دنا پلاستوربو اتوماتیک - آپشنال-1403,"1,403 تومان"
دنا پلاس6 دنده-1403,"61,403 تومان"
راناپلاس - ESP ارتقا یافته-1404,"1,404 تومان"
راناپلاس - ESP ارتقا یافته-1403,"1,403 تومان"
راناپلاس سقف شیشه ای - ESP-1403,"1,403 تومان"
راناپلاس - ESP-1403,"1,403 تومان"
ری‌رابنزینی-1404,"1,404 تومان"
ری‌رابنزینی-1403,"1,403 تومان"
سورنپلاس-1404,"1,404 تومان"
سورنپلاس XU7P-1404,"71,404 تومان"
سورنپلاس دوگانه سوز-1404,"1,404 تومان"
سورنپلاس XU7P-1403,"71,403 تومان"
سورنپلاس-1403,"1,403 تومان"
سورنپلاس دوگانه سوز-1403,"1,403 تومان"
لونا GREبرقی-1403,"1,403 تومان"
وانت آریسان 2دوگانه سوز-1404,"21,404 تومان"
وانت آریسان 2دوگانه سوز-1403,"21,403 تومان"
بیجینگ X55توربو 1500-2024,"5,515,002,024 تومان"
بیجینگ X7توربو 1500-1403,"715,001,403 تومان"
بسترن B30اتوماتیک-1401,"301,401 تومان"
T77توربو 1500-2023,"7,715,002,023 تومان"
ناتبرقی-2024,"2,024 تومان"
X3پرو-1404,"31,404 تومان"
X3پرو-1403,"31,403 تومان"
IX125L-2025,"1,252,025 تومان"
سانگ پلاسهیبرید-2024,"2,024 تومان"
ماکان9 کلید-2018,"92,018 تومان"
BZ3فول-2024,"32,024 تومان"
راو 4تک دیفرانسیل-2024,"42,024 تومان"
راو 4دو دیفرانسیل هیبرید-2024,"42,024 تومان"
راو 4دو دیفرانسیل-2024,"42,024 تومان"
راو 4فول امارات-2018,"42,018 تومان"
راو 4فول عمان-2018,"42,018 تومان"
لوینهیبرید-2024,"2,024 تومان"
لوینبنزینی-2024,"2,024 تومان"
لوینهیبرید SE-2023,"2,023 تومان"
لوینبنزینی-2023,"2,023 تومان"
لوینهیبرید-2023,"2,023 تومان"
وایلدلندرلاکچری پلاس-2025,"2,025 تومان"
وایلدلندرلاکچری پلاس-2024,"2,024 تومان"
کرولاتوربو 1200-2024,"12,002,024 تومان"
کرولاهیبرید موتور 1800-2024,"18,002,024 تومان"
کرولاهیبرید موتور 1800-2023,"18,002,023 تومان"
کرولاتنفس طبیعی 1500نیمه فول-2023,"15,002,023 تومان"
کرولاتوربو 1200-2023,"12,002,023 تومان"
کرولاتنفس طبیعی 1500 فول-2023,"15,002,023 تومان"
کرولاتنفس طبیعی 1500نیمه فول-2022,"15,002,022 تومان"
کرولا کراسهیبرید موتور 2000-2024,"20,002,024 تومان"
کمریهیبرید 2500-2024,"25,002,024 تومان"
X35اتوماتیک-1404,"351,404 تومان"
X35اتوماتیک-1403,"351,403 تومان"
VS5توربو 1400-2024,"514,002,024 تومان"
VS5توربو 1400-2023,"514,002,023 تومان"
VS7توربو 1400-2024,"714,002,024 تومان"
VS7توربو 1400-2023,"714,002,023 تومان"
E50Aبرقی-1403,"501,403 تومان"
J4اتوماتیک-1404,"41,404 تومان"
J4اتوماتیک-1403,"41,403 تومان"
S3اتوماتیک-1403,"31,403 تومان"
S5اتوماتیک - فیس جدید-1403,"51,403 تومان"
T8دنده ای-1404,"81,404 تومان"
T8دنده ای-1403,"81,403 تومان"
آزکاراهیبرید-2023,"2,023 تومان"
CS35 پلاستیپ 3-2024,"3,532,024 تومان"
CS35 پلاستیپ 2-2023,"3,522,023 تومان"
CS35 پلاستیپ 3-2023,"3,532,023 تومان"
CS55 پلاس1500 توربو-2024,"5,515,002,024 تومان"
دیگنیتیپرایم-1404,"1,404 تومان"
دیگنیتیپرستیژ-1404,"1,404 تومان"
دیگنیتیپرایم-1403,"1,403 تومان"
دیگنیتیپرستیژ-1403,"1,403 تومان"
شاین مکسبنزینی-1403,"1,403 تومان"
شاین مکسهیبرید-1403,"1,403 تومان"
Y5پلاس-1402,"51,402 تومان"
y7پلاس-1403,"71,403 تومان"
آرکاناموتور 1600-2024,"16,002,024 تومان"
تلیسمانE3-2018,"32,018 تومان"
کولیوسفول-2025,"2,025 تومان"
کولیوسفول-2024,"2,024 تومان"
کولیوسفول-2018,"2,018 تومان"
آتکاتوربو 2000-2023,"20,002,023 تومان"
رکستونG4-2018,"42,018 تومان"
نیو کوراندوتوربو 1500-2023,"15,002,023 تومان"
نیو کوراندوتوربو 1500 دو دیفرانسیل-2023,"15,002,023 تومان"
DL5توربو 1500-1403,"515,001,403 تومان"
اطلسG-1404,"1,404 تومان"
اطلسGL-1404,"1,404 تومان"
اطلسG-1403,"1,403 تومان"
پراید 151SE-1404,"1,511,404 تومان"
پراید 151SE-1403,"1,511,403 تومان"
سایناS - ESP-1404,"1,404 تومان"
سایناGX دوگانه سوز-1404,"1,404 تومان"
سایناS اتوماتیک-1404,"1,404 تومان"
سایناGX دوگانه سوز-1403,"1,403 تومان"
سایناS اتوماتیک-1403,"1,403 تومان"
سایناS - ESP-1403,"1,403 تومان"
سایناS  دوگانه سوز-1403,"1,403 تومان"
سهندS-1404,"1,404 تومان"
سهنداتوماتیک-1404,"1,404 تومان"
سهندG-1403,"1,403 تومان"
سهندS-1403,"1,403 تومان"
شاهینGL دنده ای-1404,"1,404 تومان"
شاهیناتومات-1404,"1,404 تومان"
شاهینپلاس اتوماتیک-1404,"1,404 تومان"
شاهینG دنده ای-1404,"1,404 تومان"
شاهینپلاس اتوماتیک-1403,"1,403 تومان"
شاهینGL دنده ای-1403,"1,403 تومان"
شاهیناتومات-1403,"1,403 تومان"
شاهینG دنده ای-1403,"1,403 تومان"
وانت پادرا پلاسدنده ای-1404,"1,404 تومان"
وانت پادرا پلاسدنده ای-1403,"1,403 تومان"
وانت زامیادبنزینی آپشنال-1404,"1,404 تومان"
وانت زامیاددوگانه سوز آپشنال-1404,"1,404 تومان"
وانت زامیادبنزینی آپشنال - دریچه سیمی-1403,"1,403 تومان"
وانت زامیادبنزینی آپشنال-1403,"1,403 تومان"
وانت زامیاددوگانه سوز آپشنال-1403,"1,403 تومان"
وانت کاروندنده ای-1404,"1,404 تومان"
وانت کاروندنده ای-1403,"1,403 تومان"
کوییکدنده ای  GXR-L-1404,"1,404 تومان"
کوییکS-1404,"1,404 تومان"
کوییکRS دنده‌ای-1404,"1,404 تومان"
کوییکدنده ای  GX-L-1404,"1,404 تومان"
کوییکR اتوماتیک فول پلاس-1403,"1,403 تومان"
کوییکاتوماتیک فول پلاس-1403,"1,403 تومان"
کوییکدنده ای  GXH-1403,"1,403 تومان"
کوییکدنده ای GXH-R-1403,"1,403 تومان"
کوییکدنده ای  GX-L-1403,"1,403 تومان"
کوییکدنده ای  GXR-L-1403,"1,403 تومان"
کوییکS-1403,"1,403 تومان"
کوییکRS دنده‌ای-1403,"1,403 تومان"
بالنوموتور 1500-2025,"15,002,025 تومان"
بالنوموتور 1500-2024,"15,002,024 تومان"
جیمنیپنج درب-2025,"2,025 تومان"
جیمنیپنج درب-2024,"2,024 تومان"
سیازموتور 1500-2025,"15,002,025 تومان"
سیازموتور 1500-2024,"15,002,024 تومان"
فرانکسGLX هیبرید-2025,"2,025 تومان"
فرانکسGLX هیبرید-2024,"2,024 تومان"
ویتاراهیبرید-2025,"2,025 تومان"
ویتاراهیبرید-2024,"2,024 تومان"
C3فول فاقد گرمکن صندلی-1398,"31,398 تومان"
511اتوماتیک-1404,"5,111,404 تومان"
511اتوماتیک-1403,"5,111,403 تومان"
SX5اتوماتیک-1404,"51,404 تومان"
SX5اتوماتیک-1403,"51,403 تومان"
T5اتوماتیک-1404,"51,404 تومان"
T5اتوماتیک-1403,"51,403 تومان"
سوبا M4هفت نفره-1403,"41,403 تومان"
تونلند G7بنزینی-1404,"71,404 تومان"
تونلند G7بنزینی-1403,"71,403 تومان"
ID4برقی-2025,"42,025 تومان"
ID4برقی-2024,"42,024 تومان"
پاساتفول-2018,"2,018 تومان"
تی راکتوربو 1500-2024,"15,002,024 تومان"
تیگوانفول-2018,"2,018 تومان"
FXAWD-1404,"1,404 تومان"
FXپریمیوم-1404,"1,404 تومان"
FXAWD-1403,"1,403 تومان"
FXپریمیوم-1403,"1,403 تومان"
آریزو 6 پرواتوماتیک-1404,"61,404 تومان"
آریزو 6 پرواتوماتیک-1403,"61,403 تومان"
آریزو 6 جی تیتوربو 1600-1404,"616,001,404 تومان"
آریزو 6 جی تیتوربو 1600-1403,"616,001,403 تومان"
آریزو 8توربو 2000-1404,"820,001,404 تومان"
آریزو 8توربو 2000-1403,"820,001,403 تومان"
تیگو 7 پروهیبرید e+-1404,"71,404 تومان"
تیگو 7 پرومکس-1404,"71,404 تومان"
تیگو 7 پروپریمیوم-1404,"71,404 تومان"
تیگو 7 پرومکس دو دیفرانسیل-1404,"71,404 تومان"
تیگو 7 پرومکس دو دیفرانسیل-1403,"71,403 تومان"
تیگو 7 پروهیبرید e+-1403,"71,403 تومان"
تیگو 7 پرومکس-1403,"71,403 تومان"
تیگو 7 پروپریمیوم-1403,"71,403 تومان"
تیگو 8  پرومکس IE-1404,"81,404 تومان"
تیگو 8  پروهیبرید-1404,"81,404 تومان"
تیگو 8  پروهیبرید نیوفیس-1404,"81,404 تومان"
تیگو 8  پرومکس IE-1403,"81,403 تومان"
تیگو 8  پروهیبرید-1403,"81,403 تومان"
500اتوماتیک 1200-2024,"50,012,002,024 تومان"
J7اتوماتیک-1404,"71,404 تومان"
J7اتوماتیک-1403,"71,403 تومان"
J7 EVبرقی-1403,"71,403 تومان"
K7اتوماتیک-1402,"71,402 تومان"
A5توربو 1500-1404,"515,001,404 تومان"
A5توربو 1500-1403,"515,001,403 تومان"
J7 EVبرقی پلاس-1404,"71,404 تومان"
SR3موتور 1600-1404,"316,001,404 تومان"
T9توربو 2000-1404,"920,001,404 تومان"
T9توربو 2000-1403,"920,001,403 تومان"
X5توربو 1500-1404,"515,001,404 تومان"
X5توربو 1500-1403,"515,001,403 تومان"
ایگلموتور 1500-1404,"15,001,404 تومان"
K5توربو 1500-2024,"515,002,024 تومان"
K5موتور 2000-2023,"520,002,023 تومان"
اسپورتیج1500 توربو-2024,"15,002,024 تومان"
اسپورتیجتوربو 1500 - نیمه فول-2024,"15,002,024 تومان"
سراتوGT لاین-2024,"2,024 تومان"
سلتوساتوماتیک-2024,"2,024 تومان"
سلتوساتوماتیک-2023,"2,023 تومان"
سونتموتور 1500-2024,"15,002,024 تومان"
سونتموتور 1500-2023,"15,002,023 تومان"
پیکاپ G9توربو 2000-1403,"920,001,403 تومان"
رسپکت2 جدید-1404,"21,404 تومان"
رسپکت2 جدید-1403,"21,403 تومان"
فیدلیتیپرستیژ (5نفره)-1404,"51,404 تومان"
فیدلیتیپرستیژ (7نفره)-1404,"71,404 تومان"
فیدلیتیپرایم(5 نفره)-1404,"51,404 تومان"
فیدلیتیپرایم(7 نفره)-1404,"71,404 تومان"
فیدلیتیالیت 5 نفره-1404,"51,404 تومان"
فیدلیتیالیت 7 نفره-1404,"71,404 تومان"
فیدلیتیپرایم(5 نفره)-1403,"51,403 تومان"
فیدلیتیپرایم(7 نفره)-1403,"71,403 تومان"
فیدلیتیپرستیژ (5نفره)-1403,"51,403 تومان"
فیدلیتیپرستیژ (7نفره)-1403,"71,403 تومان"
ون اینرودزدنده ای-1404,"1,404 تومان"
ون اینرودزدنده ای-1403,"1,403 تومان"
کاپرا دو کابیندو دیفرانسیل دنده ای-1402,"1,402 تومان"
تانک 300توربو 2000-2025,"30,020,002,025 تومان"
هاوال H8فول اتوماتیک-2016,"82,016 تومان"
امپوتوربو 1500-2024,"15,002,024 تومان"
امزوم GS3توربو 1500-1403,"315,001,403 تومان"
امکوتوربو 1500-2024,"15,002,024 تومان"
ایمااتوماتیک-1404,"1,404 تومان"
ایماهیبرید-1404,"1,404 تومان"
ایمااتوماتیک-1403,"1,403 تومان"
ایماهیبرید-1403,"1,403 تومان"
L7توربو 1600-2025,"716,002,025 تومان"
L7توربو 1600-2024,"716,002,024 تومان"
X33 کراساتوماتیک-1404,"331,404 تومان"
X33 کراساتوماتیک-1403,"331,403 تومان"
X33 کراسدنده ای-1403,"331,403 تومان"
ام وی ام x22pro دنده-1404,"221,404 تومان"
ام وی ام x22pro دنده-1403,"221,403 تومان"
ام وی ام x55 پروIE-1404,"551,404 تومان"
ام وی ام x55 پرواکسلنت-1403,"551,403 تومان"
ام وی ام x55 پروIE-1403,"551,403 تومان"
ام وی ام x55 پروIE اسپرت-1403,"551,403 تومان"
ام وی ام x55 پرواکسلنت اسپرت-1403,"551,403 تومان"
چری آریزو 5 FLاسپرت اکسلنت-1404,"51,404 تومان"
چری آریزو 5 FLاسپرت اکسلنت-1403,"51,403 تومان"
CX30موتور 2000-2024,"3,020,002,024 تومان"
مزدا 3 وارداتیپریمیوم-2024,"32,024 تومان"
تیاراپرایم-1403,"1,403 تومان"
کلوتاتوماتیک-1403,"1,403 تومان"
اوتلندرH-LINE تک دیفرانسیل-2023,"2,023 تومان"
اوتلندرM-LINE تک دیفرانسیل-2023,"2,023 تومان"
اوتلندرH-LINE دو دیفرانسیل-2023,"2,023 تومان"
اوتلندرM-LINE دو دیفرانسیل-2023,"2,023 تومان"
تراتوربو 2000 - ساده-2024,"20,002,024 تومان"
تراتوربو 2000 - اکسکلوسیو-2024,"20,002,024 تومان"
سانیموتور 1500-2024,"15,002,024 تومان"
سانیموتور 1500-2023,"15,002,023 تومان"
سیلفیهیبرید پلاس-2024,"2,024 تومان"
سیلفیمکس ادیشن-2024,"2,024 تومان"
سیلفیهیبرید پلاس-2023,"2,023 تومان"
سیلفیمکس ادیشن-2023,"2,023 تومان"
قشقاییموتور 2000-2024,"20,002,024 تومان"
قشقاییموتور 2000-2023,"20,002,023 تومان"
کیکسموتور 1500-2024,"15,002,024 تومان"
H6هیبرید-2025,"62,025 تومان"
H6هیبرید-2024,"62,024 تومان"
7xتوربو 1600-1404,"716,001,404 تومان"
7xتوربو 1600-1403,"716,001,403 تومان"
S56 دنده اتوماتیک-1404,"561,404 تومان"
S5پرو توربو 1500-1404,"515,001,404 تومان"
S56 دنده اتوماتیک-1403,"561,403 تومان"
S7 توربوپرو-1404,"71,404 تومان"
S7 توربوپرو-1403,"71,403 تومان"
S7 توربوپلاس-1403,"71,403 تومان"
S8اتوماتیک-1404,"81,404 تومان"
S8اتوماتیک-1403,"81,403 تومان"
ENS1برقی-1403,"11,403 تومان"
HR-Vهیبرید-2025,"2,025 تومان"
ZR-Vهیبرید-2024,"2,024 تومان"
سیتیموتور 1500-2023,"15,002,023 تومان"
وزلموتور 1500 بنزینی-2025,"15,002,025 تومان"
وزلموتور 1500 بنزینی-2024,"15,002,024 تومان"
وزلموتور 1500 بنزینی-2023,"15,002,023 تومان"
E-MQ5برقی-2024,"52,024 تومان"
H5توربو 2000-2025,"520,002,025 تومان"
H5توربو 2000-2024,"520,002,024 تومان"
وانت T205موتور 1400-1404,"20,514,001,404 تومان"
آزرافول شرکتی (کرمان موتور)-2019,"2,019 تومان"
النترااتوماتیک-1600-2023,"16,002,023 تومان"
اکسنتاتوماتیک 1600-2023,"16,002,023 تومان"
توسانتک دیفرانسیل 2000-2023,"20,002,023 تومان"
سانتافهدو دیفرانسیل فول - (GDI) DM 2400-2018,"24,002,018 تومان"
کرتااتوماتیک 1500-2023,"15,002,023 تومان"
کوناموتور 2000-2025,"20,002,025 تومان"
کوناموتور 2000-2024,"20,002,024 تومان"
D60 پلاسبنزینی-1403,"601,403 تومان"
وی-آنلاینDD-i-2024,"2,024 تومان"
وی-آنلاینDD-i-2023,"2,023 تومان"
فریتوربو 1500 هیبرید-2023,"15,002,023 تومان"
